simulation_id,SEM-0001,SEM-0002,SEM-0003,SEM-0004,SEM-0005,SEM-0006,SEM-0007,SEM-0008,SEM-0009,SEM-0010,SEM-0011,SEM-0012
58,43.85361499245847,86.37934966944968,56.910495092941545,63.42154463931041,62.2518020537882,50.96707974849538,50.520206643242304,50.55384665680771,49.56737301498754,49.70894268460675,68.7044805059882,68.10278920644438
59,39.192855919764604,84.30932664457879,54.84047206807065,61.35152161443952,60.181779028917305,47.53697910056045,47.09010599530736,47.12374600887277,46.1372723670526,46.27884203667182,67.13824045194318,66.53654915239936
60,46.96141677908139,84.42503671829733,54.95618214178921,61.46723168815807,60.29748910263586,54.65547598088708,54.20860287563399,54.242242889199396,53.255769247379234,53.39733891699845,70.68144824453518,70.07975694499137
61,47.13684032758342,87.05142093941039,57.58256636290226,64.09361590927112,62.923873323748914,48.57305429215406,48.126181186900986,48.15982120046639,47.17334755864621,47.31491722826543,68.06137473422827,67.45968343468445
62,46.880567686568924,87.30834917516306,57.83949459865494,64.35054414502379,63.180801559501575,49.11577420680449,48.66890110155141,48.702541115116816,47.71606747329664,47.857637142915856,68.52177007383753,67.92007877429373
63,54.60453618687859,89.04976945834913,59.580914881841,66.09196442820986,64.92222184268765,50.44399498900523,49.99712188375216,50.03076189731757,49.04428825549739,49.18585792511661,69.07728683204847,68.47559553250466
64,47.7518019311506,88.14219889716581,58.67334432065769,65.18439386702654,64.01465128150433,49.531420605657715,49.08454750040463,49.118187513970035,48.13171387214986,48.273283541769075,68.38460207595611,67.7829107764123
65,55.82221335679246,91.17286911299742,61.7040145364893,68.21506408285816,67.04532149733595,52.71773860360083,52.27086549834775,52.304505511913156,51.31803187009298,51.459601539712196,70.52011371315926,69.91842241361546
66,44.04229850994034,84.68070301825217,55.21184844174404,61.722897988112905,60.55315540259068,49.86470543763043,49.417832332377344,49.45147234594275,48.46499870412258,48.60656837374179,68.41783287815383,67.81614157861002
67,46.58625725674649,84.71361911235529,55.24476453584716,61.75581408221602,60.586071496693805,51.34671041283714,50.89983730758405,50.933477321149454,49.94700367932929,50.08857334894851,69.26811062891399,68.66641932937017
68,44.95134122168803,85.42622696582835,55.95737238932023,62.468421935689086,61.29867935016687,50.21990409785254,49.773030992599466,49.80667100616487,48.8201973643447,48.96176703396391,68.62689094324938,68.02519964370556
69,45.81416826810287,85.2426464872424,55.77379191073426,62.28484145710313,61.11509887158091,54.517810351963014,54.070937246709924,54.104577260275335,53.11810361845517,53.25967328807438,70.53939387750987,69.93770257796605
70,41.83239656967871,84.35636023233567,54.88750565582756,61.39855520219643,60.22881261667421,49.54083818440992,49.09396507915683,49.127605092722234,48.141131450902066,48.282701120521274,67.98435613380911,67.3826648342653
71,41.07146857059236,84.66916071607056,55.20030613956245,61.7113556859313,60.541613100409094,50.0019866997111,49.55511359445802,49.58875360802343,48.602279966203255,48.743849635822464,68.23548170619942,67.63379040665562
72,50.163207669469244,88.91464506033479,59.44579048382666,65.95684003019554,64.78709744467331,48.335433019667875,47.8885599144148,47.9221999279802,46.935726286160026,47.07729595577924,68.19674272655102,67.5950514270072
73,46.956356038650014,87.24941330662888,57.78055873012076,64.29160827648961,63.1218656909674,49.40468148965815,48.95780838440507,48.99144839797047,48.0049747561503,48.14654442576951,68.55484290664013,67.95315160709633
74,45.119135002575305,86.27122619470583,56.8023716181977,63.31342116456656,62.14367857904435,52.644740142585235,52.197867037332145,52.231507050897555,51.24503340907738,51.38660307869659,69.82461121575179,69.22291991620797
75,45.30435918220924,87.80067467233815,58.331820095830025,64.84286964219889,63.67312705667667,52.82876323628906,52.38189013103598,52.415530144601384,51.42905650278122,51.57062617240044,69.75669399636752,69.1550026968237
76,46.02815715747132,86.59573538279145,57.12688080628331,63.63793035265217,62.468187767129955,51.87940214681366,51.43252904156057,51.466169055125974,50.479695413305805,50.621265082925014,69.21287195383705,68.61118065429324
77,46.042833840751754,84.2002031639837,54.73134858747557,61.24239813384443,60.07265554832222,50.28370256027329,49.8368294550202,49.87046946858561,48.883995826765435,49.02556549638465,68.90852407202506,68.30683277248124
78,46.80597363796748,86.94842400075754,57.47956942424941,63.99061897061827,62.82087638509606,50.637880191236775,50.191007085983685,50.22464709954909,49.23817345772892,49.37974312734813,68.92485960643053,68.32316830688671
79,53.89713764287759,89.10506224026419,59.63620766375606,66.14725721012492,64.9775146246027,52.50365847530525,52.05678537005216,52.090425383617564,51.103951741797395,51.245521411416604,70.25469112386237,69.65299982431856
80,45.42189983152284,86.3851225484801,56.916267971971955,63.42731751834083,62.25757493281861,50.77388454730529,50.3270114420522,50.360651455617614,49.37417781379744,49.515747483416646,68.89481326768514,68.29312196814134
