ecosystem_id,is_manufacturing,is_design,is_fab,is_osat,is_atmp,is_design_project,financial_measure_crore,log_financial_measure,financial_rank_within_scope,financial_size_relative_to_scope_max,financial_zscore_within_scope,state_project_count,scope_state_project_count,scope_state_project_share,state_financial_total_crore,state_financial_share_within_scope,company_project_count,multi_project_company_flag,has_technology_info,has_application_info,is_ai_related,is_telecom_related,is_automotive_related,is_iot_related,is_medical_related,has_chip_node,capacity_available,log_capacity_value,has_technology_partner,approval_year,approval_year_available,record_completeness_score,analytical_exposure_index,analytical_exposure_percentile
DLI-004,0,1,0,0,0,1,39.0702,3.6906329159008826,0.625,0.4664987104785557,0.3517070725623597,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,1,0,0,0,1,1,0,0,,0,,0,0.8,0.3597370428718174,0.7083333333333334
DLI-005,0,1,0,0,0,1,25.5877,3.280448702829986,0.4583333333333333,0.3055174801795778,-0.3554876070726284,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,1,0,1,0,0,0,0,0,,0,,0,0.8,0.3041814873162618,0.5833333333333334
DLI-006,0,1,0,0,0,1,40.954899999999995,3.7365952318130544,0.7083333333333334,0.4890020536823,0.4505648372727664,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,0,1,0,0,1,0,0,0,0,,0,,0,0.6,0.3875148206495951,0.7916666666666666
DLI-007,0,1,0,0,0,1,31.08,3.4682327829983137,0.5833333333333334,0.3710956156270894,-0.0674011736248818,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,1,0,0,0,0,0,0,0,,0,,0,0.8,0.3458481539829285,0.6666666666666666
DLI-008,0,1,0,0,0,1,83.75200000000001,4.439729344802171,1.0,1.0,2.695391940837133,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0.4,0.4847370428718174,0.9166666666666666
DLI-009,0,1,0,0,0,1,12.5304,2.604939005677695,0.2083333333333333,0.1496131435667207,-1.0403793623404152,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,0,0,1,0,0,0,0,0,,0,,0,0.6,0.2208481539829284,0.375
DLI-010,0,1,0,0,0,1,21.471,3.112225588989795,0.3333333333333333,0.2563640271277103,-0.5714199888752138,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,1,0,0,0,0,1,0,0,,0,,0,0.8,0.2625148206495951,0.5
DLI-011,0,1,0,0,0,1,25.479,3.2763519660052633,0.375,0.3042196007259528,-0.3611892248494743,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,0,0,1,0,0,0,0,0,,0,,0,0.6,0.2764037095384841,0.5416666666666666
DLI-012,0,1,0,0,0,1,41.4,3.747148362237912,0.75,0.49431655363454,0.4739115720701361,4,4,0.1666666666666666,172.0511,0.2214984891723914,1,0,1,1,0,1,0,0,0,0,0,,0,,0,0.8,0.3238328297241304,0.625
DLI-013,0,1,0,0,0,1,47.86109999999999,3.8889815788794895,0.875,0.5714621740376348,0.8128142640478568,4,4,0.1666666666666666,172.0511,0.2214984891723914,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0.6,0.3654994963907971,0.75
DLI-014,0,1,0,0,0,1,17.43,2.9139797716817317,0.25,0.208114433088165,-0.783381694820327,4,4,0.1666666666666666,172.0511,0.2214984891723914,1,0,1,1,1,0,0,0,0,0,0,,0,,0,0.8,0.1571661630574638,0.1666666666666666
DLI-015,0,1,0,0,0,1,65.36,4.195094465322244,0.9583333333333334,0.7803992740471868,1.7306803111062437,4,4,0.1666666666666666,172.0511,0.2214984891723914,1,0,1,1,0,0,0,1,0,0,0,,0,,0,0.8,0.3932772741685749,0.8333333333333334
DLI-016,0,1,0,0,0,1,44.3,3.813307032488989,0.8333333333333334,0.5289425924157034,0.6260246498332709,2,2,0.0833333333333333,105.55,0.1358850105122601,2,1,1,1,1,0,0,0,0,0,0,,0,,0,0.8,0.6564061146151978,0.9583333333333334
DLI-017,0,1,0,0,0,1,61.25,4.131158535344817,0.9166666666666666,0.7313258190849173,1.5150993629660767,2,2,0.0833333333333333,105.55,0.1358850105122601,2,1,1,1,1,0,0,0,0,1,0,,0,,0,0.8,0.6841838923929755,1.0
DLI-018,0,1,0,0,0,1,9.86,2.3850863145057892,0.125,0.1177285318559556,-1.1804492805675446,3,3,0.125,75.4157,0.097090129675883,1,0,1,1,0,0,0,1,0,0,0,,0,,0,0.8,0.0740300432252943,0.125
DLI-019,0,1,0,0,0,1,25.5557,3.279244413911042,0.4166666666666667,0.3051353997516477,-0.3571660962065665,3,3,0.125,75.4157,0.097090129675883,1,0,1,1,0,1,0,1,0,0,0,,0,,0,0.8,0.1712522654475166,0.2083333333333333
DLI-020,0,1,0,0,0,1,40.0,3.713572066704308,0.6666666666666666,0.4776005349125991,0.4004776724603469,3,3,0.125,75.4157,0.097090129675883,1,0,0,1,0,0,0,0,0,0,0,,0,,0,0.6,0.2545855987808499,0.4583333333333333
DLI-021,0,1,0,0,0,1,29.53,3.4187098067467865,0.5,0.3525885948992263,-0.1487029910500055,1,1,0.0416666666666666,29.53,0.0380169053569591,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0.6,0.1793389684523197,0.25
DLI-022,0,1,0,0,0,1,29.64,3.4223063448723905,0.5416666666666666,0.3539019963702359,-0.1429331846520935,3,2,0.0833333333333333,33.92,0.0436685888827651,1,0,1,1,0,0,1,0,0,0,0,,0,,0,0.8,0.1951117518498105,0.2916666666666667
DLI-023,0,1,0,0,0,1,4.28,1.6639260977181702,0.0416666666666666,0.0511032572356481,-1.4731358232979903,3,2,0.0833333333333333,33.92,0.0436685888827651,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0.6,0.0284450851831439,0.0416666666666666
DLI-024,0,1,0,0,0,1,7.48,2.137710449803812,0.0833333333333333,0.089311300028656,-1.3052869099041864,1,1,0.0416666666666666,7.48,0.009629747784289,1,0,1,1,0,0,1,0,0,0,0,,0,,0,0.8,0.0309876937058741,0.0833333333333333
