sector,credit_2019_crore,credit_2020_crore,credit_2021_crore,credit_2022_crore,credit_2023_crore,credit_2024_crore,credit_2025_crore,credit_2026_crore,credit_growth_2019_2020_pct,credit_growth_2020_2021_pct,credit_growth_2021_2022_pct,credit_growth_2022_2023_pct,credit_growth_2023_2024_pct,credit_growth_2024_2025_pct,credit_growth_2025_2026_pct,credit_growth_mean_pct,credit_growth_volatility_pct
Jute Textiles,1910.91,1944.26,2590.11184,3288.09319,3709.449733,4279.559436,4288.234703,4994.105944,1.7452417957936222,33.218388487136494,26.94792322172467,12.81461682051657,15.369117902533919,0.20271402067753713,16.46064849263452,15.25123582014533,12.082457265330255
Man-Made Textiles,29103.49,30064.6,34487.93404,37406.285376,39400.075626,45074.46841,49186.25942,52031.98385,3.3023874456293623,14.712765312028106,8.461948844529859,5.330094207320625,14.401984498363468,9.122217421620837,5.785608549128404,8.73100089694581,4.432424962687155
Other Textiles,78565.31,78398.0,81526.00171,94995.238162,97099.894245,107180.8687,116297.9953,134573.8889,-0.21295658350994565,3.9898998826500636,16.521399516085747,2.2155385087943427,10.382065329097005,8.506300341266023,15.714710776274229,8.15956539580821,6.517628825861631
Leather and Leather Products,10489.53,10460.56,10737.49791,11877.34168,11947.5707,12587.81048,12979.84309,14147.20102,-0.2761801529715932,2.647448224569245,10.615543579649456,0.5912856756344546,5.358744434967018,3.114382843806528,8.993621278051982,4.4349779833867276,4.117891449487191
Wood and Wood Products,13077.12,13622.18,15086.18251,17334.741726,21205.494054,23838.81498,27825.96738,31055.0612,4.1680431165271825,10.747196924427662,14.904759467874154,22.329449086595517,12.418106926885187,16.725463926563013,11.604605783879856,13.271089318964654,5.6183581985266695
Paper and Paper Products,32393.27,32592.86,37855.07604,41825.500609,44265.640695,46426.05713,52847.59392,58963.98515,0.6161465020357628,16.14530311239946,10.488486576554774,5.834096545098926,4.880571931367138,13.831751363288769,11.573641818507225,9.052856835607436,5.4848651937474
"Petroleum, Coal Products and Nuclear Fuels",75395.37,79997.34,79173.88612,106442.513209,149443.424272,132356.3024,154178.5291,204180.2297,6.10378329597693,-1.0293515759399012,34.441440764534754,40.39824856311657,-11.433839899773691,16.48748590305136,32.43104010128994,16.771258164607996,19.75670185631693
Chemicals and Chemical Products,171924.62,198941.33,184952.9264,203139.168898,224077.828124,249347.616,267814.87,307905.5671,15.714276407881542,-7.031421575396118,9.832903351130758,10.307544005220226,11.277237059802383,7.406228419685386,14.969556059377881,8.925189103957436,7.613734563920952
Fertiliser,37630.14,47067.95,32413.7444,33936.919783,34648.190503,37569.36877,32011.20975,30585.68393,25.08045412533676,-31.13414882101302,4.69916515723496,2.095861158136976,8.430969192307673,-14.794390222596224,-4.453208207790405,-1.4393282311976114,17.889120603192662
Drugs and Pharmaceuticals,50732.58,56342.18,54077.22842,63931.07682,70687.329663,80832.23558,88524.29389,104391.4091,11.057194410376917,-4.019992801130522,18.221807381599536,10.568026035323074,14.351802459317067,9.516077657393437,17.924023466051512,11.08841980127586,7.519624747779136
Petro Chemicals,22966.75,26485.96,28011.68184,19708.024706,20778.83,25318.15427,28797.46146,36807.94201,15.323064865512096,5.760492880001337,-29.64355079223619,5.433346618821727,21.84590888899903,13.742341376451373,27.81662043762659,8.611174896453708,18.69507366807516
"Rubber, Plastic and their Products",46018.84,52571.78,56026.05774,76854.542552,84048.982548,90471.78341,103464.6135,112778.5823,14.239689657540266,6.570593082448411,37.176424064421425,9.361112248026487,7.6417354110526805,14.36119594450692,9.002081470105706,14.050404554014557,10.641419443689442
Glass and Glassware,7965.62,6817.07,6582.735659,7146.366057,9573.382103,12090.21779,13442.79188,16286.83311,-14.418839964748509,-3.437464203829501,8.562251732369013,33.96154110553422,26.289932438937154,11.187342639259438,21.156626208215897,11.900198565105386,16.926480581900215
Cement and Cement Products,56986.43,61054.34,57610.08978,48604.6475659999,58053.651534,59756.90776,59752.60731,65112.66177,7.138383646773444,-5.641286467104542,-15.631710084795678,19.44053591823573,2.9339346983237866,-0.007196573854313602,8.970411001802358,2.4575817341972552,11.194223014125905
Basic Metal and Metal Product,371754.79,335099.21,305457.1987,286129.20314,342729.485322,384447.2295,433501.1544,518062.2818,-9.86015001985582,-8.84574192222059,-6.327562631445035,19.781372037829385,12.17220751777616,12.759599012795068,19.506551837685258,5.598039404652061,13.409696046205028
Iron and Steel,287648.22,251225.15,218852.728,185580.671762,228614.11499,273802.5639,300156.0398,356663.3265,-12.66236585785234,-12.885820547823334,-15.202943340966712,23.188537264909087,19.766254989101014,9.624992375756209,18.825970231234372,4.379232159194042,17.314427397258168
Other Metal and Metal Product,84106.57,83874.06,86604.47072,100548.531378,114115.370332,110644.6656,133345.1146,161398.9553,-0.2764468935066658,3.255369681639353,16.100855466321594,13.492826566503613,-3.0413998761977155,20.51653270123852,21.03852157175318,10.155179888250268,10.023901747192221
All Engineering,172838.22,162810.18,153532.1829,169914.075872,177978.895549,196864.0536,240135.8943,317373.7001,-5.801980603595667,-5.698659076477883,10.670005898808837,4.746410581708032,10.610897428454187,21.980569793570478,32.164206865095885,9.810207269651983,13.899081280899715
Electronics,39888.57,32448.62,35486.51382,36745.333901,40836.84364,43395.91409,52863.09654,59905.30703,-18.651834347533644,9.36216646501454,3.5473196589137306,11.134773601522923,6.266572589594976,21.815838307647457,13.321600418680287,6.685205241977182,12.595830872923232
"Vehicles, Vehicle Parts and Transport Equipment",83808.29,90007.12,85892.30051,95976.634681,101616.961508,113547.8696,119450.2002,141075.5601,7.396440137365888,-4.5716599864543985,11.740673041847247,5.876770784625754,11.741059676401296,5.198098934654078,18.104080080060005,7.926494666928552,7.080636112414161
Gems and Jewellery,72699.68,66608.72,74381.83894,82131.649319,78599.810169,84957.19865,85813.54569,121355.0919,-8.378248707559639,11.669821819125184,10.418955069464436,-4.30021700438805,8.088300044657581,1.007974666782393,41.41717478775815,8.560537239405722,16.3414895122325
Construction,111937.32,127837.59,119670.3416,119551.206842,124955.254703,142209.8544,160037.0366,179323.3057,14.204619156506507,-6.3887690623704625,-0.09955245084718647,4.520278802490083,13.808622724999939,12.535827615614222,12.051128607313894,7.233165056243856,8.060752713199662
Infrastructure,1044199.16,1083656.43,1111675.253,1212648.014518,1223104.943332,1326851.767,1364368.718,1490126.394,3.778711141656147,2.5855817604478286,9.082936877969697,0.8623218517498976,8.482250377091232,2.8275163762132682,9.217279342518609,5.262371103949525,3.541681417605727
Power,569857.28,577326.55,571028.2991,610649.95019,620231.404645,651191.2482,692159.9417,842654.828,1.3107264331167303,-1.0909338744251587,6.938649302048236,1.5690584191513959,4.991660100268612,6.291345839374249,21.742790536298966,5.9647566794047195,7.54666953674973
Telecommunications,110545.08,147176.4,114960.8208,127368.127591,108262.16,143097.5097,123849.8018,108701.4327,33.13699714179952,-21.889093088294043,10.792639357181761,-15.000587629232015,32.17684710890674,-13.450763706756522,-12.231242101188405,1.9335424403452905,23.303781460822393
Roads,176253.72,181530.8,234088.4362,282165.694462,300209.550457,324255.7266,334146.5112,338134.9082,2.9940247502293778,28.95246217170861,20.538074858564922,6.3947731241403645,8.009797192126381,3.050303753679339,1.1936072549962322,10.161863300777892,10.503622663446953
Airports,4423.68,5143.87,8573.41,7365.83,9593.04,7280.23,9155.73,6684.13,16.28033673321758,66.6723692472788,-14.085177309845207,30.23705407265713,-24.109250039612064,25.76154874227875,-26.99511671925668,10.537394960959757,34.203602767963446
Ports,9478.84,12745.18,10152.8,8603.38,7982.55,6680.97,5915.78,8794.11,34.45927982748944,-20.34008150532202,-15.261011740603578,-7.216117386422535,-16.305315970460565,-11.453276994208931,48.65512240144159,1.7912283759876289,27.772990585552495
Railways (other than Indian Railways),9703.87,10884.73,12471.11,10526.36,10174.63,12961.35106,13414.97668,6730.318654,12.16895939455082,14.574362432508673,-15.594040947437717,-3.3414209660319556,27.388917926253846,3.4998328330133113,-49.829814732111785,-1.5904577227506869,25.30658682732831
Other Infrastructure,163936.69,148848.9,160400.3766,165968.672275,166651.60823,181384.7309,185725.9769,178426.666,-9.203424809906805,7.760538774555939,3.4714978811340282,0.4114848577377539,8.840672362229133,2.393391096626212,-3.930150763955955,1.3920013426314723,6.362884922865313
Other Industries,161468.06,223620.5,219105.7224,236392.293877,218756.513244,256370.6387,300921.2914,353413.3863,38.492095588440215,-2.018946205736952,7.889602922118838,-7.4603872841033745,17.1945168160755,17.377439525019984,17.44379557052507,12.702588133191325,15.143994294706642
Industries (2.1 to 2.19),2837528.33,2946851.25,2940570.692,3181100.127314,3366405.867978,3682392.532,3985659.551,4584304.347,3.8527516657428373,-0.21312775797557457,8.179685527315327,5.825209306456672,9.386469618168604,8.235597274451562,15.019968171887646,7.183793400863868,4.7611543153790015
