sector_id,sr_no,sector,year,credit_crore
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2022,100548.531378
2.14  ,2.14  ,All Engineering,2022,169914.075872
2.14.1  ,2.14.1  ,Electronics,2022,36745.333901
2.14.2  ,2.14.2  ,Others,2022,133168.741972
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2022,95976.634681
2.16  ,2.16  ,Gems and Jewellery,2022,82131.649319
2.17  ,2.17  ,Construction,2022,119551.206842
2.18  ,2.18  ,Infrastructure,2022,1212648.014518
2.18.1  ,2.18.1  ,Power,2022,610649.95019
2.18.2  ,2.18.2  ,Telecommunications,2022,127368.127591
2.18.3  ,2.18.3  ,Roads,2022,282165.694462
2.18.4  ,2.18.4  ,Airports,2022,7365.83
2.18.5  ,2.18.5  ,Ports,2022,8603.38
2.18.6  ,2.18.6  ,Railways (other than Indian Railways),2022,10526.36
2.18.7  ,2.18.7  ,Other Infrastructure,2022,165968.672275
2.19  ,2.19  ,Other Industries,2022,236392.293877
,,Industries (2.1 to 2.19),2022,3181100.127314
2.1  ,2.1  ,Mining and Quarrying (incl. Coal),2023,60221.13672
2.2  ,2.2  ,Food Processing,2023,181771.533928
2.2.1  ,2.2.1  ,Sugar,2023,22613.743388
2.2.2  ,2.2.2  ,Edible Oils and Vanaspati,2023,18982.718062
2.2.3  ,2.2.3  ,Tea,2023,5244.916407
2.2.4  ,2.2.4  ,Others,2023,134930.156072
2.3  ,2.3  ,Beverage and Tobacco,2023,23780.123777
2.4  ,2.4  ,Textiles,2023,230275.235697
2.4.1  ,2.4.1  ,Cotton Textiles,2023,90065.816094
2.4.2  ,2.4.2  ,Jute Textiles,2023,3709.449733
2.4.3  ,2.4.3  ,Man-Made Textiles,2023,39400.075626
2.4.4  ,2.4.4  ,Other Textiles,2023,97099.894245
2.5  ,2.5  ,Leather and Leather Products,2023,11947.5707
2.6  ,2.6  ,Wood and Wood Products,2023,21205.494054
2.7  ,2.7  ,Paper and Paper Products,2023,44265.640695
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2023,149443.424272
2.9  ,2.9  ,Chemicals and Chemical Products,2023,224077.828124
2.9.1  ,2.9.1  ,Fertiliser,2023,34648.190503
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2023,70687.329663
2.9.3  ,2.9.3  ,Petro Chemicals,2023,20778.83
2.9.4  ,2.9.4  ,Others,2023,97963.477958
2.10  ,2.10  ,"Rubber, Plastic and their Products",2023,84048.982548
2.11  ,2.11  ,Glass and Glassware,2023,9573.382103
2.12  ,2.12  ,Cement and Cement Products,2023,58053.651534
2.13  ,2.13  ,Basic Metal and Metal Product,2023,342729.485322
