resource,error
01_Raw_Data/RBI/Sectoral_Credit/IPR8000915FST.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBCPR1573291223.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2320SD2932019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR12531072020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR11010715_SDB.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR559020915_SD1.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBC30042024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1502ST31122018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2312SD28022017_A.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR310SD31052023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR581SD30082019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR116826022021_S1.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1792290116.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2786310516_AN.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR283310715_ST12.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2041S310117.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR293SDBC31052021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1539SD311215.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2326ST28022018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD30122022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
