dataset,file_role,read_status,rows,columns,duplicate_rows,empty_rows,missing_cells_pct,infinite_values,duplicate_columns,content_hash
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Manufacturing_RBI_Integration_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,13,6,0,0,0.0,0,0,96cbc359dba5c7a1ada0edc1813ff29f316e5a0d3b7caf0182110137f5b289d0
01_Raw_Data/Semiconductor/Semiconductor_Master/Ecosystem_High_Correlation_Pairs.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,15,4,0,0,0.0,0,0,8e43836aa11109a021c9d4fe8c89846c21c1cd8df275b53bdda7badf8eec346d
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Ecosystem_Analytical_Features.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,36,63,0,0,14.418,0,0,54273e739635a1340ee1bbb6730b612591a72e3b458a99e9537ee276a35f2afa
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Master_Canonical.csv,CANONICAL_MANUFACTURING,READ_OK_utf-8-sig,12,20,0,0,2.5,0,0,4b5b16ae23200fdb6e4a4208d62eb596e8c29fd0436a5fcf99b67c4585738e2d
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Verification_Final_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,51,26,0,0,36.2745,0,0,b5336e36c0075c20bd3b1929fb3cd743341e112454ea59cd0598168232dd6af1
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Ecosystem_Master.csv,CANONICAL_ECOSYSTEM,READ_OK_utf-8-sig,36,27,0,0,27.572,0,0,517693de1c629bae7680a0a00ed772fec4a2db6152c47327cb74ca1b25979c13
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Manual_Review copy.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,51,37,0,0,38.9507,0,0,debc100578632eb0dd11e1147201e8154be96f3a298e660e1ae0964480b1afeb
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Official_Expansion_2026_Verified.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,2,20,0,0,5.0,0,0,a8529f06c5fa129b5d209f09a781df59bdd1c92cc84968849dc1c4612edb10d6
01_Raw_Data/Semiconductor/Semiconductor_Master/Manufacturing_Banking_Stress_Matrix.csv,INTERMEDIATE_MFG_MATRIX,READ_OK_utf-8-sig,12,40,0,0,4.5833,0,0,06e0852d5fd181e6a2c0760c14c9e4941bae3d0a1c242a098856f96a9c9f147d
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Expansion_Raw.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,51,26,0,0,47.8884,0,0,b338f914a76413aed9e25068d5a440a81281b53293323d7cc9d678c38454a845
01_Raw_Data/Semiconductor/Semiconductor_Master/RBI_NPA_Year_Level_Stress_Features.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,21,9,0,0,0.5291,0,0,98f9febcc798584b3d903e024925945c19d3f48c5c3e02a7bb648ebbb2d21437
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Ecosystem_Feature_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,34,11,0,0,0.0,0,0,783ca9a9cac40ceaa9df6f3f226966bd9b9311348507aea0f42a4891c5de652d
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Manual_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,51,37,0,0,38.9507,0,0,debc100578632eb0dd11e1147201e8154be96f3a298e660e1ae0964480b1afeb
01_Raw_Data/Semiconductor/Semiconductor_Master/Manufacturing_Feature_Selection_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,6,3,0,0,0.0,0,0,37314b7529685a5cfa05aa8e8843fd00b4ac95ca6ddc673cd198c63fd692e48a
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Evidence_Review.csv,REVIEW_OR_DISCOVERY,READ_OK_utf-8-sig,51,56,0,0,38.2003,0,0,9ce2d844ad31c2637f68b03f8eac8bf17028843ea0a3df9d08cc902085180551
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Model_Diagnostics.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,10,5,0,0,0.0,0,0,45d30f3ffca367108ef5855a99ea9f3cbf19fd5f1ee0aa2fd77e5fdaaf0c206d
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Master_Canonical_BACKUP_BEFORE_2026_EXPANSION.csv,BACKUP,READ_OK_utf-8-sig,10,20,0,0,2.0,0,0,f3473ab78108f272b53f5c78e102746705452d09d818bca08ee9a54956d596d9
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Verification_Queue.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,51,37,0,0,38.9507,0,0,debc100578632eb0dd11e1147201e8154be96f3a298e660e1ae0964480b1afeb
01_Raw_Data/Semiconductor/Semiconductor_Master/RBI_NPA_Features_For_Semiconductor_Model.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,1984,9,285,0,11.2231,0,0,3b3183fa4b48d03185392e0483175c8cb3be26a775dcc719619b41616e1cbc73
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Ecosystem_Master_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,8,4,0,0,0.0,0,0,8e11c9c239d74f756a94b29beb0937d7ff21f18fe27cd33e28fcce31bdbbaf07
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Ecosystem_ML_Feasibility_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,27,11,0,0,0.0,0,0,4b57219e4deca3385a5f97c2474db06bef092e150f4e07bec5be8ef44e1a2d08
01_Raw_Data/Semiconductor/Semiconductor_Master/Ecosystem_Clustering_Final.csv,FINAL_ECO_MATRIX,READ_OK_utf-8-sig,36,25,0,0,0.0,0,0,ef4ec05ab092281a4a115ec8ab77d8ab46971e9997d9f4b997875e6f20d2fb5b
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Feature_Importance.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,34,2,6,0,0.0,0,0,1edb01c2be42d3ccde43f00953d066001a12aba7fa8aad35178089a4fe3eafe6
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Semiconductor_Capacity_Meity_Relevant_Pages.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,48,4,0,0,0.0,0,0,1a6125754b739871bbe673717f25d0fe5380e2593775093b9e7d614d58f385ad
