scenario_1,scenario_2,spearman_rho,p_value
3,79,0.8041958041958043,0.0016147689860699299
3,80,0.8461538461538463,0.0005211337004810046
3,81,0.8741258741258742,0.0002007130733242317
3,82,0.8041958041958043,0.0016147689860699299
3,83,0.8461538461538463,0.0005211337004810046
3,84,0.8741258741258742,0.0002007130733242317
3,85,0.8041958041958043,0.0016147689860699299
3,86,0.8461538461538463,0.0005211337004810046
3,87,0.8741258741258742,0.0002007130733242317
3,88,0.8041958041958043,0.0016147689860699299
3,89,0.8461538461538463,0.0005211337004810046
3,90,0.8741258741258742,0.0002007130733242317
3,91,0.8741258741258742,0.0002007130733242317
3,92,0.9440559440559443,3.927261080965951e-06
3,93,1.0,0.0
3,94,0.8741258741258742,0.0002007130733242317
3,95,0.9440559440559443,3.927261080965951e-06
3,96,1.0,0.0
3,97,0.8041958041958043,0.0016147689860699299
3,98,0.8461538461538463,0.0005211337004810046
3,99,0.8741258741258742,0.0002007130733242317
3,100,0.8041958041958043,0.0016147689860699299
3,101,0.8461538461538463,0.0005211337004810046
3,102,0.8741258741258742,0.0002007130733242317
3,103,0.8041958041958043,0.0016147689860699299
3,104,0.8461538461538463,0.0005211337004810046
3,105,0.8741258741258742,0.0002007130733242317
3,106,0.8041958041958043,0.0016147689860699299
3,107,0.8461538461538463,0.0005211337004810046
3,108,0.8741258741258742,0.0002007130733242317
3,109,0.8741258741258742,0.0002007130733242317
3,110,0.9440559440559443,3.927261080965951e-06
3,111,1.0,0.0
3,112,0.8741258741258742,0.0002007130733242317
3,113,0.9440559440559443,3.927261080965951e-06
3,114,1.0,0.0
3,115,0.8041958041958043,0.0016147689860699299
3,116,0.8461538461538463,0.0005211337004810046
3,117,0.8741258741258742,0.0002007130733242317
3,118,0.8041958041958043,0.0016147689860699299
3,119,0.8461538461538463,0.0005211337004810046
3,120,0.8741258741258742,0.0002007130733242317
3,121,0.8041958041958043,0.0016147689860699299
3,122,0.8461538461538463,0.0005211337004810046
3,123,0.8741258741258742,0.0002007130733242317
3,124,0.8041958041958043,0.0016147689860699299
3,125,0.8461538461538463,0.0005211337004810046
3,126,0.8741258741258742,0.0002007130733242317
3,127,0.8741258741258742,0.0002007130733242317
3,128,0.9440559440559443,3.927261080965951e-06
3,129,1.0,0.0
3,130,0.8741258741258742,0.0002007130733242317
3,131,0.9440559440559443,3.927261080965951e-06
3,132,1.0,0.0
3,133,0.8041958041958043,0.0016147689860699299
3,134,0.8461538461538463,0.0005211337004810046
3,135,0.8741258741258742,0.0002007130733242317
3,136,0.8041958041958043,0.0016147689860699299
3,137,0.8461538461538463,0.0005211337004810046
3,138,0.8741258741258742,0.0002007130733242317
3,139,0.8041958041958043,0.0016147689860699299
3,140,0.8461538461538463,0.0005211337004810046
3,141,0.8741258741258742,0.0002007130733242317
3,142,0.8041958041958043,0.0016147689860699299
3,143,0.8461538461538463,0.0005211337004810046
3,144,0.8741258741258742,0.0002007130733242317
3,145,0.8741258741258742,0.0002007130733242317
3,146,0.9440559440559443,3.927261080965951e-06
3,147,1.0,0.0
3,148,0.8741258741258742,0.0002007130733242317
3,149,0.9440559440559443,3.927261080965951e-06
3,150,1.0,0.0
3,151,0.8041958041958043,0.0016147689860699299
3,152,0.8461538461538463,0.0005211337004810046
3,153,0.8741258741258742,0.0002007130733242317
3,154,0.8041958041958043,0.0016147689860699299
3,155,0.8461538461538463,0.0005211337004810046
3,156,0.8741258741258742,0.0002007130733242317
3,157,0.8041958041958043,0.0016147689860699299
3,158,0.8461538461538463,0.0005211337004810046
3,159,0.8741258741258742,0.0002007130733242317
3,160,0.8041958041958043,0.0016147689860699299
3,161,0.8461538461538463,0.0005211337004810046
3,162,0.8741258741258742,0.0002007130733242317
