source,document,page,company_raw,state,project_type,investment_crore,capacity_raw,approval_date,matched_terms,data_quality_flag
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,83,Diploma level as a step towards creation of Talent pool Annual Ministry of Electronics; Information Technology,,Advanced Packaging; Semiconductor Design,,,,"investment, semiconductor, fab",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,84,Applied Materials Inc.; Electronics design and technology specific curriculums in Diploma and Information Technology; Ministry of Finance has decided to exempt the Electronics; Dot Compulsory Safety Standards for Electronics; Electronics and Information Technology,,Semiconductor Design,,,,"investment, approved, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,86,Sensa OPV devices are also being developed for roll-to- tion Pvt. Ltd.; MeitY Technologies; Crore. The objective of technology the centre is to demonstrate state- of-the-art AMOLED Sensa Core Technology; Sensa OPV devices are also being developed for roll-to- tion Pvt. Ltd. Core roll manufacturing. A laboratory has been developed successfully for state-of-the-art research facility. A clean LFIA based Technology; National Centre of Excellence in Technology,,,,,28,"approved, crore, fab, fabrication, display",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,90,Minister of Electronics; Information Technology; Digital During the summit a session for Information & Technology; REPORT Ministry of Electronics,,,,,,"investment, semiconductor",LOW
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,92,A meeting between the co-chairs of the Indo-French global and regional perspectives. Joint Working Group for Digital Technology; MeitY about the growth of the potential of DPI in enabling seamless service deliv- Electronics; REPORT Ministry of Electronics; Information Technology,,,,,,"investment, semiconductor, display",LOW
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,93,A virtual meeting of the Technology; International Projects Technology; Weather Extremes & Climate Modeling and Quantum Technologies; India-Argentina Centre of Excellence in Information Technology; C-DAC Delhi with financial assistance from the Annual Ministry of Electronics,,Compound Semiconductor; Advanced Packaging,,,,"investment, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,129,VEGA Processor Annual Ministry of Electronics; Information Technology,,Display Fab; Semiconductor Design,1000.0,,,"approved, crore, semiconductor, fab, fabrication, display",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,145,Medi-Electronics; SMEs and funding and eco-system required for their startups with a clutch of IP related services. success and growth. The Medi-Electronics; AMTZ as in- curated for ICT based innovators. These dustry and seed funding partner and Kalam service along with handling IPR queries and Institute of Health Technology; Emerging has been setup across India. MeitY has initiated the Technologies; Cy- Technology,Odisha,Semiconductor Design,,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,173,CSC E-Governance Services India Limited; Workshops held for assessment of quality of and IT and related areas. The skill development activities research of the Ministry are primarily being taken up by its two Research has been undertaken under the scheme in autonomous societies viz. National Institute of Electronics; Information Technology; Visvesvaraya PhD Scheme for Electronics; Serum of PhDs in Electronics,,Semiconductor Design,,,,"approved, crore, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,174,Scheme of Financial Assistance for setting up of Lakh. Electronics; REPORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,257,Sarv Webs Pvt. Ltd.; People Link Unified Communications Pvt Ltd; Ministry of Electronics; Information Technology; KIDIC Core or Technology,Tamil Nadu,,,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,281,Production Linked Incentive for Large Scale Electronics; Annual Ministry of Electronics; Information Technology,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,,,,"crore, semiconductor, ATMP, OSAT, fab, display",MEDIUM
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,1,,,Semiconductor Design,1000.0,,,"approved, crore, semiconductor",MEDIUM
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,2,,,Compound Semiconductor; Advanced Packaging; Semiconductor Design,1.6,,,"investment, total investment, approved, crore, semiconductor, fab, fabrication",MEDIUM
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,3,Micron Technology Inc.; Tata Electronics Private Limited; CG Power and Industrial Solutions Limited; The facility will be set up as a joint venture partnership with Renesas Electronics America Inc.; Kaynes Technology India Limited,Gujarat; Assam; Odisha; Punjab; Andhra Pradesh; Uttar Pradesh,Advanced Packaging,22516.0,"14; 48; 6.33; 36; 4.20; 8; 158.38; 96; 48; 6.33; 50,000; 5,000",,"investment, approved, crore, semiconductor, fab",HIGH
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,4,,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,,,,"investment, approved, crore, semiconductor, ATMP, OSAT, fab, fabrication, display",LOW
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,5,,,OSAT; ATMP; Advanced Packaging; Semiconductor Design,,,,"investment, crore, semiconductor, ATMP, OSAT, fab",LOW
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,6,,,Semiconductor Design,,,,"crore, semiconductor, fab",LOW
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,7,Advancing Indigenous Microprocessors and Core Semiconductor Technologies; Specialised academic programmes have been introduced to integrate semiconductor education into mainstream engineering. These include a B Tech in Electronics,,Advanced Packaging; Semiconductor Design,,,,"investment, semiconductor, fab",MEDIUM
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,8,,,ATMP; Advanced Packaging; Semiconductor Design,,,,"investment, semiconductor, ATMP, fab, fabrication",LOW
