sector_code,sector,credit_2019_crore,credit_2020_crore,credit_2021_crore,credit_2022_crore,credit_2023_crore,credit_2024_crore,credit_2025_crore,credit_2026_crore,credit_growth_2019_2020_pct,credit_growth_2020_2021_pct,credit_growth_2021_2022_pct,credit_growth_2022_2023_pct,credit_growth_2023_2024_pct,credit_growth_2024_2025_pct,credit_growth_2025_2026_pct,credit_growth_2019_2026_pct,credit_cagr_2019_2026_pct,credit_growth_volatility_pct,negative_growth_years,positive_growth_years
2.12,Cement and Cement Products,56986.43,61054.34,57610.08978,48604.6475659999,58053.651534,59756.90776,59752.60731,65112.66177,7.1383836467734385,-5.641286467104544,-15.63171008479568,19.440535918235735,2.9339346983237924,-0.007196573854317823,8.970411001802358,14.25994183176591,1.9226181745521709,11.194223014125905,3,4
2.13,Basic Metal and Metal Product,371754.79,335099.21,305457.1987,286129.20314,342729.485322,384447.2295,433501.1544,518062.2818,-9.860150019855817,-8.845741922220585,-6.327562631445039,19.781372037829392,12.172207517776169,12.759599012795064,19.506551837685258,39.35591301997749,4.855047905884713,13.40969604620503,3,4
2.13.1,Iron and Steel,287648.22,251225.15,218852.728,185580.671762,228614.11499,273802.5639,300156.0398,356663.3265,-12.662365857852343,-12.885820547823334,-15.202943340966712,23.18853726490908,19.766254989101007,9.624992375756204,18.82597023123438,23.99288495510248,3.119879056168817,17.314427397258168,3,4
2.13.2,Other Metal and Metal Product,84106.57,83874.06,86604.47072,100548.531378,114115.370332,110644.6656,133345.1146,161398.9553,-0.2764468935066655,3.255369681639353,16.100855466321583,13.492826566503613,-3.0413998761977146,20.51653270123852,21.038521571753186,91.89815409188601,9.758631958916574,10.023901747192221,2,5
2.14,All Engineering,172838.22,162810.18,153532.1829,169914.075872,177978.895549,196864.0536,240135.8943,317373.7001,-5.801980603595669,-5.6986590764778855,10.670005898808842,4.746410581708038,10.61089742845418,21.98056979357048,32.16420686509589,83.62472148810605,9.069783232847218,13.899081280899717,2,5
2.14.1,Electronics,39888.57,32448.62,35486.51382,36745.333901,40836.84364,43395.91409,52863.09654,59905.30703,-18.651834347533647,9.362166465014532,3.547319658913728,11.13477360152293,6.266572589594976,21.81583830764746,13.32160041868029,50.18163606767554,5.9817230237292796,12.595830872923234,1,6
2.15,"Vehicles, Vehicle Parts and Transport Equipment",83808.29,90007.12,85892.30051,95976.634681,101616.961508,113547.8696,119450.2002,141075.5601,7.3964401373658895,-4.571659986454401,11.740673041847248,5.876770784625762,11.741059676401289,5.198098934654083,18.104080080060015,68.33127140525121,7.723202898367765,7.0806361124141635,1,6
2.16,Gems and Jewellery,72699.68,66608.72,74381.83894,82131.649319,78599.810169,84957.19865,85813.54569,121355.0919,-8.378248707559631,11.669821819125193,10.418955069464442,-4.300217004388052,8.088300044657593,1.0079746667823963,41.41717478775815,66.92658330820716,7.5943231227405095,16.3414895122325,2,5
2.17,Construction,111937.32,127837.59,119670.3416,119551.206842,124955.254703,142209.8544,160037.0366,179323.3057,14.204619156506503,-6.388769062370459,-0.09955245084718456,4.520278802490085,13.808622724999942,12.535827615614226,12.051128607313899,60.19974902025525,6.963943143007123,8.060752713199662,2,5
2.18,Infrastructure,1044199.16,1083656.43,1111675.253,1212648.014518,1223104.943332,1326851.767,1364368.718,1490126.394,3.7787111416561547,2.5855817604478304,9.082936877969704,0.8623218517499032,8.482250377091226,2.8275163762132793,9.217279342518614,42.705189879677754,5.2114059031552085,3.541681417605725,0,7
2.18.1,Power,569857.28,577326.55,571028.2991,610649.95019,620231.404645,651191.2482,692159.9417,842654.828,1.3107264331167379,-1.0909338744251595,6.938649302048239,1.5690584191514034,4.991660100268613,6.291345839374252,21.742790536298973,47.87120522528026,5.747251296660538,7.546669536749731,1,6
2.18.2,Telecommunications,110545.08,147176.4,114960.8208,127368.127591,108262.16,143097.5097,123849.8018,108701.4327,33.13699714179952,-21.889093088294043,10.792639357181756,-15.00058762923201,32.176847108906735,-13.450763706756518,-12.23124210118841,-1.6677787016844192,-0.2399748447552641,23.30378146082239,4,3
2.18.3,Roads,176253.72,181530.8,234088.4362,282165.694462,300209.550457,324255.7266,334146.5112,338134.9082,2.994024750229385,28.952462171708614,20.538074858564915,6.394773124140363,8.009797192126378,3.05030375367934,1.1936072549962429,91.84554413943718,9.754332747616656,10.50362266344695,0,7
2.18.4,Airports,4423.68,5143.87,8573.41,7365.83,9593.04,7280.23,9155.73,6684.13,16.28033673321758,66.6723692472788,-14.085177309845209,30.23705407265713,-24.109250039612064,25.76154874227874,-26.995116719256686,51.09885886863425,6.073949792993538,34.203602767963446,3,4
2.18.5,Ports,9478.84,12745.18,10152.8,8603.38,7982.55,6680.97,5915.78,8794.11,34.45927982748944,-20.340081505322015,-15.26101174060358,-7.216117386422538,-16.305315970460565,-11.453276994208927,48.65512240144159,-7.223774217098288,-1.0654232528621632,27.772990585552495,5,2
2.18.6,Railways (other than Indian Railways),9703.87,10884.73,12471.11,10526.36,10174.63,12961.35106,13414.97668,6730.318654,12.168959394550827,14.57436243250867,-15.594040947437716,-3.3414209660319605,27.388917926253843,3.4998328330133166,-49.829814732111785,-30.64294292895515,-5.092908286199982,25.30658682732831,3,4
2.18.7,Other Infrastructure,163936.69,148848.9,160400.3766,165968.672275,166651.60823,181384.7309,185725.9769,178426.666,-9.203424809906801,7.760538774555936,3.4714978811340336,0.4114848577377428,8.84067236222914,2.3933910966262184,-3.930150763955953,8.838763305517517,1.2173120196966147,6.362884922865313,2,5
