Statement 1: Deployment of Gross Bank Credit by Major Sectors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,source_file,source_sheet,Statement 2: Industry-wise Deployment of Gross Bank Credit
(Rs. Crore),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","4.Apr,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 4.Apr,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
"4 Since May 2024, a bank has changed the classification of a category of agricultural loan into “Loans against gold jewellery” under retail segment.",,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
5 “Agriculture and Allied Activities” under the priority sector also include priority sector lending certificates (PSLCs).        ,,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
6 “Micro and Small Enterprises” under the priority sector include credit to micro and small enterprises in industry and services sectors and also include PSLCs.,,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
7 “Medium Enterprises” under the priority sector include credit to medium enterprises in industry and services sectors.       ,,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
,,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 2,(Rs. Crore)
,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 2,Industry
,"28.Jun,2024","21.Mar,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 21.Mar,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 2,
,,,,,,%,%,%,%,SIBCSJ26E31072026E.xlsx,Statement 2,
,55648.725887,56817.556194,57008.641423,60930.816283,64261.168144,2.443749635456951,12.721802414456393,0.33631370618538275,5.465792293889205,SIBCSJ26E31072026E.xlsx,Statement 2,2.1. Mining and Quarrying (incl. Coal)
,206408.479528,219524.798106,223134.099063,250187.008269,266733.239865,8.103164934525434,19.539434351398782,1.6441427064915044,6.6135454876256246,SIBCSJ26E31072026E.xlsx,Statement 2,2.2. Food Processing
,24945.004496,28521.702093,22861.668583,29742.416505,22511.775659,-8.351715925062555,-1.530478506980812,-19.844655454097627,-24.310872133689802,SIBCSJ26E31072026E.xlsx,Statement 2,2.2.1. Sugar
,18122.089805,20927.253641,21341.874935,26225.645787,32138.487149,17.767184494978284,50.58886460014765,1.98125038819087,22.54602769374313,SIBCSJ26E31072026E.xlsx,Statement 2,2.2.2. Edible Oils and Vanaspati
,5852.65178,5083.83262,4949.538016,5126.835226,5641.933382,-15.430847382483426,13.989090774972231,-2.6416016033194993,10.047097932614541,SIBCSJ26E31072026E.xlsx,Statement 2,2.2.3. Tea
