sector_code,sector,year,credit_crore,credit_growth_pct
2.8,"Petroleum, Coal Products and Nuclear Fuels",2019,75395.37,
2.8,"Petroleum, Coal Products and Nuclear Fuels",2020,79997.34,6.103783295976939
2.8,"Petroleum, Coal Products and Nuclear Fuels",2021,79173.88612,-1.0293515759398963
2.8,"Petroleum, Coal Products and Nuclear Fuels",2022,106442.513209,34.44144076453475
2.8,"Petroleum, Coal Products and Nuclear Fuels",2023,149443.424272,40.39824856311658
2.8,"Petroleum, Coal Products and Nuclear Fuels",2024,132356.3024,-11.433839899773691
2.8,"Petroleum, Coal Products and Nuclear Fuels",2025,154178.5291,16.487485903051358
2.8,"Petroleum, Coal Products and Nuclear Fuels",2026,204180.2297,32.431040101289945
2.18.5,Ports,2019,9478.84,
2.18.5,Ports,2020,12745.18,34.45927982748944
2.18.5,Ports,2021,10152.8,-20.340081505322015
2.18.5,Ports,2022,8603.38,-15.26101174060358
2.18.5,Ports,2023,7982.55,-7.216117386422538
2.18.5,Ports,2024,6680.97,-16.305315970460565
2.18.5,Ports,2025,5915.78,-11.453276994208927
2.18.5,Ports,2026,8794.11,48.65512240144159
2.18.1,Power,2019,569857.28,
2.18.1,Power,2020,577326.55,1.3107264331167379
2.18.1,Power,2021,571028.2991,-1.0909338744251595
2.18.1,Power,2022,610649.95019,6.938649302048239
2.18.1,Power,2023,620231.404645,1.5690584191514034
2.18.1,Power,2024,651191.2482,4.991660100268613
2.18.1,Power,2025,692159.9417,6.291345839374252
2.18.1,Power,2026,842654.828,21.742790536298973
2.18.6,Railways (other than Indian Railways),2019,9703.87,
2.18.6,Railways (other than Indian Railways),2020,10884.73,12.168959394550827
2.18.6,Railways (other than Indian Railways),2021,12471.11,14.57436243250867
2.18.6,Railways (other than Indian Railways),2022,10526.36,-15.594040947437716
2.18.6,Railways (other than Indian Railways),2023,10174.63,-3.3414209660319605
2.18.6,Railways (other than Indian Railways),2024,12961.35106,27.388917926253843
2.18.6,Railways (other than Indian Railways),2025,13414.97668,3.4998328330133166
2.18.6,Railways (other than Indian Railways),2026,6730.318654,-49.829814732111785
2.18.3,Roads,2019,176253.72,
2.18.3,Roads,2020,181530.8,2.994024750229385
2.18.3,Roads,2021,234088.4362,28.952462171708614
2.18.3,Roads,2022,282165.694462,20.538074858564915
2.18.3,Roads,2023,300209.550457,6.394773124140363
2.18.3,Roads,2024,324255.7266,8.009797192126378
2.18.3,Roads,2025,334146.5112,3.05030375367934
2.18.3,Roads,2026,338134.9082,1.1936072549962429
2.10,"Rubber, Plastic and their Products",2019,46018.84,
2.10,"Rubber, Plastic and their Products",2020,52571.78,14.239689657540255
2.10,"Rubber, Plastic and their Products",2021,56026.05774,6.570593082448406
2.10,"Rubber, Plastic and their Products",2022,76854.542552,37.17642406442143
2.10,"Rubber, Plastic and their Products",2023,84048.982548,9.361112248026494
2.10,"Rubber, Plastic and their Products",2024,90471.78341,7.641735411052686
2.10,"Rubber, Plastic and their Products",2025,103464.6135,14.36119594450691
2.10,"Rubber, Plastic and their Products",2026,112778.5823,9.002081470105704
2.18.2,Telecommunications,2019,110545.08,
2.18.2,Telecommunications,2020,147176.4,33.13699714179952
2.18.2,Telecommunications,2021,114960.8208,-21.889093088294043
2.18.2,Telecommunications,2022,127368.127591,10.792639357181756
2.18.2,Telecommunications,2023,108262.16,-15.00058762923201
2.18.2,Telecommunications,2024,143097.5097,32.176847108906735
2.18.2,Telecommunications,2025,123849.8018,-13.450763706756518
2.18.2,Telecommunications,2026,108701.4327,-12.23124210118841
2.4,Textiles,2019,200939.28,
2.4,Textiles,2020,193452.92,-3.7256827037500995
2.4,Textiles,2021,204971.7757,5.954345739521516
2.4,Textiles,2022,224314.895866,9.436967650761297
2.4,Textiles,2023,230275.235697,2.657130641275174
2.4,Textiles,2024,256047.9836,11.192149179650478
2.4,Textiles,2025,277267.0852,8.287158251223946
2.4,Textiles,2026,301868.4233,8.87279428867458
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2019,83808.29,
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2020,90007.12,7.3964401373658895
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2021,85892.30051,-4.571659986454401
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2022,95976.634681,11.740673041847248
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2023,101616.961508,5.876770784625762
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2024,113547.8696,11.741059676401289
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2025,119450.2002,5.198098934654083
2.15,"Vehicles, Vehicle Parts and Transport Equipment",2026,141075.5601,18.104080080060015
2.6,Wood and Wood Products,2019,13077.12,
2.6,Wood and Wood Products,2020,13622.18,4.168043116527187
2.6,Wood and Wood Products,2021,15086.18251,10.747196924427671
2.6,Wood and Wood Products,2022,17334.741726,14.90475946787415
2.6,Wood and Wood Products,2023,21205.494054,22.32944908659551
2.6,Wood and Wood Products,2024,23838.81498,12.418106926885187
2.6,Wood and Wood Products,2025,27825.96738,16.725463926563002
2.6,Wood and Wood Products,2026,31055.0612,11.604605783879851
